k2name	k2camp	isdwarf	teff	tefferr	kepmag	
202073315.0	0.0	nan	6236.0	132.0	10.0	
202073314.0	0.0	nan	6236.0	132.0	10.3	
202065552.0	0.0	1.0	6245.0	25.0	10.3	
202073258.0	0.0	1.0	5664.0	25.0	13.8	
202065543.0	0.0	1.0	6152.0	25.0	10.2	
202064462.0	0.0	0.0	4554.0	18.0	9.6	
202071376.0	0.0	1.0	4524.0	25.0	11.1	
202071376.0	0.0	1.0	4524.0	25.0	11.1	
202072991.0	0.0	1.0	6519.0	25.0	10.0	
202065545.0	0.0	0.0	4908.0	25.0	10.6	
202072965.0	0.0	1.0	6511.0	25.0	10.5	
202091456.0	0.0	1.0	6272.0	18.0	9.3	
202089962.0	0.0	1.0	6447.0	25.0	10.5	
202088488.0	0.0	1.0	6086.0	25.0	10.9	
202065337.0	0.0	1.0	3200.0	19.0	12.8	
202065323.0	0.0	1.0	3206.0	19.0	12.6	
202140013.0	0.0	1.0	3327.0	19.0	13.8	
202139879.0	0.0	0.0	4043.0	19.0	13.5	
202139778.0	0.0	1.0	4393.0	132.0	15.4	
202139722.0	0.0	1.0	4319.0	132.0	15.2	
202139235.0	0.0	1.0	3769.0	19.0	14.7	
202139094.0	0.0	1.0	1.0	0.0	16.0	
202138236.0	0.0	1.0	4055.0	19.0	13.7	
202138123.0	0.0	1.0	4013.0	19.0	15.0	
202137774.0	0.0	1.0	3134.0	19.0	14.0	
202137970.0	0.0	0.0	4403.0	25.0	13.9	
202137968.0	0.0	0.0	4456.0	25.0	15.2	
202137967.0	0.0	0.0	4002.0	19.0	12.8	
202137966.0	0.0	0.0	4271.0	25.0	14.8	
202137964.0	0.0	0.0	3996.0	19.0	14.2	
202137963.0	0.0	0.0	4083.0	19.0	15.2	
202137960.0	0.0	0.0	4441.0	25.0	14.4	
202137957.0	0.0	0.0	4315.0	25.0	14.8	
202137955.0	0.0	0.0	4342.0	25.0	14.7	
202137954.0	0.0	0.0	4095.0	19.0	14.7	
202085881.0	0.0	1.0	4917.0	25.0	11.4	
202085867.0	0.0	1.0	4372.0	25.0	10.9	
202085488.0	0.0	1.0	3816.0	19.0	15.2	
202085438.0	0.0	1.0	3616.0	19.0	15.8	
202085430.0	0.0	1.0	3694.0	19.0	15.6	
202085343.0	0.0	1.0	3674.0	19.0	15.6	
202085342.0	0.0	1.0	3527.0	19.0	15.6	
202085303.0	0.0	1.0	3536.0	19.0	15.2	
202085276.0	0.0	1.0	3625.0	19.0	14.6	
202085270.0	0.0	1.0	3685.0	19.0	15.5	
202085268.0	0.0	1.0	3643.0	19.0	15.0	
202085229.0	0.0	1.0	3740.0	19.0	15.3	
202085551.0	0.0	1.0	3625.0	19.0	15.4	
202085548.0	0.0	1.0	3640.0	19.0	15.4	
202085545.0	0.0	1.0	3707.0	19.0	15.6	
202085541.0	0.0	1.0	3660.0	19.0	14.9	
202085539.0	0.0	1.0	3691.0	19.0	15.9	
202085535.0	0.0	1.0	3702.0	19.0	15.7	
202085533.0	0.0	1.0	3737.0	19.0	15.5	
202085530.0	0.0	1.0	3760.0	19.0	15.4	
202085526.0	0.0	1.0	3833.0	19.0	15.2	
202085524.0	0.0	1.0	3716.0	19.0	15.6	
202085511.0	0.0	1.0	3638.0	19.0	15.9	
202084890.0	0.0	1.0	3655.0	19.0	14.8	
202084887.0	0.0	1.0	3761.0	19.0	14.8	
202084885.0	0.0	1.0	3635.0	19.0	15.4	
202084865.0	0.0	1.0	3781.0	19.0	14.2	
202084853.0	0.0	1.0	3595.0	19.0	15.0	
202084822.0	0.0	1.0	3813.0	19.0	14.5	
202084806.0	0.0	1.0	3509.0	19.0	14.9	
