#epic_num, bper, bpow, depth, qtran, in1, in2
202059070, 0.2607006596, 0.0008981526, 0.0087330800, 0.010691, 61, 61
202059073, 0.1559557665, 0.0002071755, 0.0007672941, 0.079173, 59, 66
202059074, 0.5867613403, 0.0000537478, 0.0001245207, 0.247633, 58, 82
202059078, 0.7801560468, 0.0004844436, 0.0011928686, 0.208333, 54, 74
202059080, 0.1963077366, 0.0004413499, 0.0020069871, 0.050955, 23, 27
202059081, 0.2952896589, 0.0001236616, 0.0012533466, 0.009831, 35, 35
202059082, 0.2815826528, 0.0007111505, 0.0014351785, 0.433170, 71, 13
202059086, 1.9415533981, 0.0005833614, 0.0035899252, 0.027143, 82, 84
202059183, 0.4155227106, 0.0000306097, 0.0000712272, 0.244428, 44, 68
202059188, 0.6908885716, 0.0113693058, 0.0227528145, 0.517664, 76, 27
202059190, 1.9561134659, 0.0000259291, 0.0001912504, 0.018732, 64, 65
202059192, 0.7553065592, 0.0000216127, 0.0000501366, 0.246677, 4, 28
202059193, 1.3366455753, 0.0000260151, 0.0000656144, 0.195369, 17, 35
202059195, 0.5240474485, 0.0000340980, 0.0000931937, 0.159222, 27, 42
202059197, 1.9561134659, 0.0000162730, 0.0000386364, 0.230548, 42, 64
202059198, 1.9590517241, 0.0000207349, 0.0000491717, 0.231332, 41, 63
202059199, 0.6115222311, 0.0000229269, 0.0000549211, 0.224801, 56, 78
202059203, 0.2401546751, 0.0000316941, 0.0000634543, 0.477175, 90, 36
202059204, 1.5680606377, 0.0001217166, 0.0002443141, 0.457578, 15, 60
202059207, 0.6548133595, 0.0000203572, 0.0000410746, 0.433922, 50, 93
202059208, 0.2975804292, 0.0000185797, 0.0000372360, 0.467949, 18, 64
202059210, 1.9590517241, 0.0000517532, 0.0001071044, 0.371490, 28, 64
202059215, 0.3421580928, 0.0000603601, 0.0001207337, 0.492527, 38, 86
202059221, 1.9561134659, 0.0000312165, 0.0002008035, 0.024781, 55, 57
202059222, 0.4686811556, 0.0000310146, 0.0000620439, 0.489138, 97, 45
202059223, 0.6894277178, 0.0000339757, 0.0000680991, 0.467096, 85, 31
202059224, 0.2813396860, 0.0000131796, 0.0000798100, 0.028058, 73, 75
202059229, 2.5142066885, 0.0005681054, 0.0012695875, 0.276912, 28, 55
202059231, 1.8298664064, 0.0000878000, 0.0002688696, 0.121366, 58, 69
202059243, 0.2405089679, 0.0000191423, 0.0000382917, 0.490432, 95, 42
202059291, 1.4875774857, 0.0004791309, 0.0009848442, 0.384615, 16, 53
202059299, 1.6640963053, 0.0000195982, 0.0000403661, 0.380505, 93, 30
202059310, 0.1909615238, 0.0007589988, 0.0018876863, 0.202792, 15, 34
202059312, 1.9590517241, 0.0000322856, 0.0000776888, 0.221976, 42, 63
202059318, 1.9415533981, 0.0000228812, 0.0000461176, 0.438060, 30, 74
202059326, 2.0228606110, 0.0000261369, 0.0000523400, 0.474836, 75, 21
202059327, 0.4374015748, 0.0000376196, 0.0000756198, 0.449890, 95, 38
202059330, 0.1566864808, 0.0000631061, 0.0001621142, 0.186202, 22, 40
202059332, 0.7539965815, 0.0003277835, 0.0006560843, 0.519853, 29, 80
202059333, 1.8665297741, 0.0001666727, 0.0003334261, 0.511001, 57, 8
202059336, 1.9444480456, 0.0000764021, 0.0001528211, 0.507429, 21, 72
202059339, 0.5627110377, 0.0000881466, 0.0001764370, 0.479821, 30, 77
202059343, 0.9859974362, 0.0000293090, 0.0000712371, 0.215875, 92, 13
202059346, 0.1440688141, 0.0003675446, 0.0008773228, 0.227071, 73, 95
202059347, 0.8627264884, 0.0001070171, 0.0002148069, 0.457627, 42, 87
202059348, 1.0745450638, 0.0001797584, 0.0003596893, 0.484513, 83, 31
202059350, 0.1470080863, 0.0001928989, 0.0004835333, 0.198587, 44, 62
202059351, 1.9649548015, 0.0000512777, 0.0001187355, 0.248023, 38, 62
202059352, 0.3918052272, 0.0000187104, 0.0000379146, 0.419561, 99, 40
202059355, 0.4039401570, 0.0001006098, 0.0002016316, 0.468055, 93, 39
202059359, 1.9243648961, 0.0000477962, 0.0000979110, 0.391834, 36, 75
202059360, 1.8350155992, 0.0016890381, 0.0045773870, 0.162595, 78, 94
202059364, 1.2677824268, 0.0000559909, 0.0001150130, 0.385965, 17, 55
202059367, 0.1519050802, 0.0001286457, 0.0002685003, 0.357040, 42, 76
202059373, 0.3840746716, 0.0007816218, 0.0015648749, 0.522825, 80, 31
202059377, 1.5775440442, 0.0006366571, 0.0040003776, 0.026005, 17, 26
202059382, 1.9531840083, 0.0000558241, 0.0001262443, 0.266617, 42, 69
202059388, 1.9473513373, 0.0000620688, 0.0001496761, 0.220654, 45, 67
202059391, 1.9561134659, 0.0000350059, 0.0000701032, 0.474474, 18, 64
202059392, 2.5535881502, 0.0000509229, 0.0001028029, 0.431932, 8, 49
202059393, 1.9649548015, 0.0000361052, 0.0000873955, 0.218347, 37, 59
202059397, 1.0049919593, 0.0000811016, 0.0001625479, 0.467456, 66, 12
202059403, 2.1354737666, 0.0000473483, 0.0002171745, 0.050036, 72, 76
