#epic_num, bper, bpow, depth, qtran, in1, in2
210302627, 0.7810905114, 0.0000352308, 0.0000707045, 0.458584, 74, 19
210303168, 0.8655893810, 0.0000565247, 0.0001133064, 0.466337, 51, 97
210303479, 2.3986086678, 0.0000145408, 0.0000613484, 0.059748, 70, 75
210304352, 0.2124568846, 0.0000176025, 0.0000446301, 0.192688, 65, 83
210305942, 0.1618991591, 0.0000370465, 0.0000753035, 0.410708, 39, 79
210306475, 0.3764258555, 0.0000782156, 0.0001656450, 0.335566, 51, 84
210307221, 0.6002641426, 0.0065453760, 0.0163202091, 0.201418, 40, 59
210307350, 1.4336168993, 0.0000243610, 0.0000720549, 0.131631, 26, 38
210307378, 0.1428537412, 0.0000011787, 0.0000077435, 0.023732, 95, 97
210307958, 0.9845088451, 0.0000932396, 0.0002070645, 0.282660, 9, 36
210308210, 0.1284470060, 0.0003735953, 0.0026889369, 0.019691, 3, 4
210308491, 0.1397315024, 0.0005770214, 0.0017719768, 0.120579, 98, 9
210308588, 0.6702940651, 0.0001370098, 0.0002746054, 0.467360, 44, 90
210309091, 0.4261119082, 0.0000910999, 0.0001837147, 0.435923, 21, 64
210309341, 0.8012447246, 0.0005026046, 0.0011232932, 0.276843, 68, 95
210309376, 0.6531736527, 0.0001413530, 0.0003381964, 0.225576, 47, 69
210310009, 0.1592112945, 0.0000274698, 0.0002674931, 0.010660, 6, 6
210310510, 0.5194555561, 0.0000568720, 0.0001221863, 0.317371, 63, 94
210310724, 0.6109493065, 0.0005623216, 0.0012140234, 0.311701, 36, 66
210310995, 0.7820272173, 0.0002627848, 0.0005273692, 0.458728, 24, 69
210311067, 0.8037135279, 0.0000496584, 0.0001001700, 0.434883, 57, 99
210311375, 0.5902132851, 0.0002030323, 0.0004352939, 0.319870, 62, 93
210311535, 0.5602936232, 0.0471962362, 0.0944227557, 0.512662, 1, 51
210311597, 0.6611200494, 0.0000550195, 0.0001101911, 0.473736, 21, 67
210311687, 0.9128450138, 0.0041304472, 0.0082665809, 0.481457, 99, 46
210312506, 0.7170997586, 0.0000526564, 0.0001075212, 0.399184, 35, 74
210312511, 0.6876103152, 0.0005103040, 0.0010336477, 0.420831, 34, 75
210312900, 0.2933634550, 0.0000171956, 0.0000353900, 0.382052, 62, 99
210312947, 0.1840622929, 0.0013367510, 0.0029103228, 0.302437, 65, 94
210312949, 0.5746111409, 0.0000126926, 0.0000268364, 0.337806, 61, 94
210312956, 1.7442144435, 0.0002039761, 0.0014897449, 0.019112, 48, 49
210313423, 0.7112338771, 0.0000429419, 0.0000947371, 0.288950, 64, 92
210313844, 1.3111149963, 0.0009290528, 0.0046413945, 0.041815, 38, 41
210314226, 0.7483721278, 0.0000194453, 0.0000391151, 0.446501, 46, 90
210314232, 1.6410635155, 0.0001562972, 0.0015724004, 0.009980, 81, 81
210314431, 0.1461186992, 0.0000707401, 0.0001416276, 0.522802, 67, 18
210314440, 0.8667398654, 0.0000450218, 0.0000906789, 0.440914, 51, 94
210314566, 1.0353075171, 0.0000314214, 0.0000637948, 0.413943, 58, 99
210314671, 0.2590951493, 0.0015955804, 0.0081172019, 0.040260, 89, 92
210314854, 0.3546247695, 0.0000867646, 0.0001785419, 0.382353, 1, 38
210315527, 0.1771615875, 0.0021747812, 0.0090507288, 0.061523, 28, 33
210315825, 0.9912431432, 0.0000708414, 0.0001428066, 0.437395, 33, 76
210316002, 1.5813696030, 0.0000269546, 0.0001371813, 0.040226, 70, 73
210316476, 0.1494164703, 0.0000197082, 0.0001879245, 0.011122, 58, 58
210316598, 1.2203327773, 0.0003242822, 0.0009130813, 0.148052, 50, 64
210316742, 0.6081007115, 0.0000246487, 0.0000658369, 0.168591, 82, 98
210316947, 0.1829263831, 0.0000251405, 0.0000590684, 0.237607, 40, 63
210317105, 0.5728444572, 0.0000734610, 0.0002200145, 0.127822, 79, 91
210317331, 0.8193662934, 0.0001088942, 0.0002201700, 0.426658, 67, 9
210317378, 0.2883689184, 0.0000334943, 0.0000758494, 0.265481, 46, 72
210317526, 1.0336664369, 0.0000513164, 0.0001796510, 0.089626, 62, 70
210317585, 1.2249173098, 0.0000184251, 0.0000375462, 0.404176, 61, 0
210317628, 1.6726329876, 0.0001362005, 0.0003009405, 0.287471, 23, 51
210318134, 0.6241053595, 0.0059097435, 0.0121733932, 0.380314, 99, 36
210318238, 0.2614322692, 0.0000128740, 0.0000592182, 0.049736, 2, 6
210318481, 1.3366455753, 0.0001212670, 0.0002495485, 0.382284, 50, 87
210318725, 0.8766438716, 0.0000174682, 0.0000414096, 0.231575, 42, 64
210318757, 1.0263455024, 0.0001198333, 0.0003884378, 0.106519, 88, 98
210318953, 1.2752199974, 0.0000188055, 0.0000513552, 0.159546, 37, 52
210318976, 0.4950081685, 0.0001057413, 0.0002136443, 0.429053, 62, 4
210319059, 0.4925777530, 0.0000342900, 0.0003460458, 0.009917, 78, 78
210319568, 1.0112257282, 0.0000229523, 0.0000487547, 0.331553, 97, 29
210319653, 1.9357898813, 0.0000744626, 0.0001533416, 0.380866, 2, 38
210319712, 0.1515168352, 0.0006661730, 0.0018582113, 0.151466, 1, 15
210319744, 0.8990020080, 0.0005525451, 0.0011065983, 0.526095, 72, 23
210319815, 0.2095216143, 0.0006902663, 0.0018434945, 0.168640, 89, 5
210320059, 0.7839073851, 0.0000472668, 0.0000964751, 0.400197, 55, 94
210320099, 2.6905552067, 0.0000884761, 0.0003499730, 0.068621, 77, 83
210320253, 0.7557442306, 0.0000318440, 0.0000647856, 0.408347, 50, 90
210320522, 0.7218625917, 0.0000191482, 0.0000383085, 0.512594, 9, 59
210320835, 1.4226701447, 0.0004438989, 0.0016666029, 0.076848, 61, 68
210321100, 0.2128730086, 0.0000730851, 0.0001476176, 0.430154, 8, 50
210321165, 0.9852525783, 0.0000177020, 0.0000376487, 0.329931, 62, 94
210321327, 0.2431091913, 0.0000581587, 0.0001163312, 0.492303, 88, 36
210321339, 0.2429280618, 0.0000550469, 0.0001112165, 0.429133, 99, 41
210321520, 0.2768016979, 0.0007523826, 0.0044997436, 0.028786, 23, 25
210321968, 0.3705437656, 0.0019100425, 0.0182482449, 0.011079, 22, 22
210321990, 0.5756255757, 0.0000194589, 0.0000394346, 0.419312, 44, 85
210322064, 0.4798905740, 0.0000141584, 0.0001437452, 0.009798, 41, 41
210322126, 0.6016486823, 0.1013604416, 0.2033538368, 0.460581, 69, 14
210322242, 0.6912547529, 0.0002982275, 0.0006695158, 0.272876, 77, 3
210322349, 0.6422377802, 0.0000074501, 0.0000149380, 0.464467, 23, 69
210322477, 1.5871428571, 0.0034903712, 0.0070540451, 0.428106, 59, 1
210322499, 1.5680606377, 0.0010593809, 0.0021487079, 0.416814, 45, 86
210322505, 0.6765528441, 0.0000165933, 0.0000337219, 0.411255, 34, 74
210322534, 0.1725214811, 0.0000355794, 0.0003509015, 0.010389, 81, 81
210322728, 0.5336974700, 0.0002197805, 0.0006151793, 0.150195, 18, 32
210322796, 0.2845313300, 0.0000201675, 0.0001458838, 0.019491, 46, 47
210323006, 1.4774663843, 0.0001057314, 0.0002153653, 0.405248, 60, 0
210323140, 0.1419210462, 0.0005737072, 0.0056860472, 0.010286, 23, 23
210323198, 0.2919842313, 0.0000102562, 0.0000205468, 0.471094, 8, 54
210323212, 0.7424081178, 0.0000835162, 0.0001918771, 0.253932, 17, 41
210323331, 0.8198813786, 0.0000766638, 0.0001649816, 0.315415, 59, 90
210323478, 0.7206659619, 0.0000274218, 0.0000561344, 0.393388, 17, 55
210323564, 1.0657642294, 0.0000714057, 0.0001438737, 0.439353, 67, 10
210323749, 0.7194732929, 0.0000289284, 0.0000604473, 0.355193, 24, 58
210323797, 0.8356408614, 0.0001759246, 0.0003906260, 0.282812, 46, 73
210323805, 0.3237284294, 0.0000661847, 0.0001348651, 0.404255, 75, 15
210323900, 0.1428224539, 0.0000954440, 0.0001963636, 0.382748, 56, 93
210324150, 0.6567919075, 0.0000293106, 0.0000587743, 0.463934, 41, 86
210324165, 0.1616583494, 0.0000194407, 0.0000455179, 0.240027, 64, 87
210324184, 1.8936304526, 0.0000447639, 0.0001072150, 0.224898, 62, 84
210324198, 1.8936304526, 0.0000394973, 0.0000945706, 0.225102, 62, 84
210324263, 0.3276319670, 0.0004964446, 0.0035089313, 0.020434, 96, 97
210324363, 1.0640252554, 0.0001053933, 0.0002110193, 0.476523, 36, 83
210324926, 0.7853234547, 0.0007245825, 0.0014525058, 0.466107, 19, 65
210324940, 1.2483665571, 0.0000260908, 0.0000522520, 0.525958, 18, 69
210325131, 0.5257374205, 0.0000842963, 0.0008505576, 0.009921, 30, 30
210325299, 0.7120104439, 0.0000448577, 0.0000954125, 0.329812, 56, 88
210325424, 1.0303998351, 0.0000623499, 0.0001247000, 0.498973, 58, 8
210326016, 0.8324406827, 0.0002813220, 0.0028042755, 0.010167, 79, 79
210326019, 0.7876949740, 0.0000842885, 0.0001687122, 0.479987, 25, 72
210326021, 0.1969302075, 0.0000354086, 0.0000945843, 0.168558, 63, 79
210326160, 1.7349334876, 0.0005016608, 0.0018433528, 0.080552, 58, 65
210326221, 0.1595619056, 0.0000181044, 0.0001760048, 0.010695, 5, 5
210326245, 0.6035978027, 0.0001405509, 0.0002817303, 0.466623, 34, 80
210326403, 0.7386240520, 0.0000569105, 0.0001165560, 0.392318, 69, 7
210326405, 0.9357686549, 0.0000090867, 0.0000182004, 0.527194, 31, 82
210326472, 0.9357686549, 0.0000088879, 0.0000179034, 0.440420, 39, 82
210326681, 2.0323170732, 0.0000653216, 0.0001475926, 0.267358, 7, 33
210326779, 0.2562948027, 0.0001908642, 0.0004953634, 0.181342, 81, 98
210326784, 0.5636838545, 0.0000144620, 0.0000735361, 0.040301, 71, 74
210326794, 0.4636823149, 0.0001211604, 0.0002425017, 0.480687, 93, 40
210326969, 0.6638119896, 0.0000241934, 0.0000590412, 0.213491, 21, 41
210327027, 0.2186912209, 0.0057626518, 0.0266363651, 0.049229, 68, 72
210327051, 0.8112120720, 0.0004047747, 0.0023897671, 0.029563, 97, 99
210327060, 0.6737567944, 0.0072693946, 0.0156290901, 0.316523, 38, 69
210327065, 1.0344863262, 0.0002202667, 0.0004524176, 0.386151, 38, 76
210327256, 0.1283711496, 0.0000193432, 0.0001946952, 0.009970, 24, 24
210327264, 0.3158875749, 0.0000110638, 0.0000225224, 0.406797, 55, 95
210327369, 0.6086683035, 0.0000189451, 0.0000378914, 0.503865, 45, 95
210327391, 0.5730961752, 0.0000190313, 0.0000387833, 0.404054, 72, 12
210327399, 2.5093692488, 0.0001522623, 0.0003906963, 0.186762, 75, 93
210327534, 2.3384003742, 0.0000494816, 0.0001958733, 0.068511, 47, 53
210327910, 0.5295800011, 0.0018529855, 0.0037239294, 0.450955, 23, 67
210328077, 0.1950745259, 0.0000499049, 0.0001955458, 0.070036, 69, 75
210328532, 0.6247032363, 0.0000842654, 0.0002020962, 0.224053, 64, 85
210328701, 1.3746849365, 0.0013617027, 0.0027644132, 0.414197, 34, 74
210328949, 0.6521937644, 0.0000347125, 0.0000881877, 0.191678, 63, 81
210329073, 0.6512168118, 0.0000445417, 0.0000946519, 0.331030, 76, 8
210329115, 0.2725216222, 0.0039067678, 0.0156042135, 0.067199, 64, 70
210329155, 0.3564663522, 0.0000308265, 0.0001774532, 0.031148, 73, 75
210329401, 1.7678571429, 0.0001243341, 0.0005606275, 0.051876, 29, 33
210329466, 2.5337444041, 0.0000512177, 0.0001635712, 0.110186, 43, 53
210329615, 0.1615182076, 0.0011430982, 0.0039499355, 0.092263, 30, 38
210329670, 0.1574620872, 0.0000194386, 0.0001152734, 0.029294, 13, 15
210329711, 0.8147594861, 0.0003465286, 0.0007020631, 0.420171, 35, 76
210329745, 0.3001140547, 0.0001314062, 0.0002629313, 0.515033, 24, 75
210329795, 0.5143342135, 0.0002471701, 0.0007065359, 0.142766, 78, 91
210329876, 0.3535672611, 0.0000839026, 0.0001687042, 0.448450, 38, 82
210330150, 0.9734860778, 0.0000199015, 0.0000595936, 0.127878, 60, 72
210330158, 0.1264298539, 0.0003015751, 0.0007124254, 0.233897, 53, 75
210330159, 0.9942658270, 0.0000364779, 0.0000764894, 0.349783, 11, 45
210330338, 0.1455642148, 0.0003406824, 0.0007057815, 0.369622, 12, 48
210330399, 0.3587213891, 0.0000821768, 0.0001643860, 0.490066, 8, 56
210331040, 0.5081223003, 0.0002615163, 0.0010872588, 0.061655, 67, 72
210331148, 1.5871428571, 0.0001100269, 0.0002430222, 0.287814, 67, 95
210331185, 1.9187028272, 0.0001379479, 0.0002988575, 0.307802, 86, 16
210331421, 0.6541564899, 0.0000298582, 0.0000599293, 0.457883, 55, 99
210331437, 0.1276549567, 0.0007899042, 0.0021607403, 0.158887, 89, 4
210331473, 1.4320427746, 0.0000997110, 0.0002530388, 0.192232, 20, 38
210331686, 0.6525200670, 0.0003380675, 0.0006763897, 0.486281, 39, 87
210331765, 1.3761354253, 0.0000318740, 0.0003001217, 0.011409, 71, 71
210331848, 1.9561134659, 0.0022438429, 0.0045287302, 0.432836, 15, 57
210331852, 0.7886475970, 0.0000311771, 0.0000646215, 0.368719, 35, 71
210331908, 1.3393909627, 0.0000097895, 0.0000408936, 0.061033, 48, 53
210332019, 0.9874905356, 0.0005221563, 0.0010449464, 0.482587, 24, 71
210332036, 0.1569504615, 0.0000968933, 0.0002864971, 0.131733, 3, 15
