# K2_c03_SuPerPiG_Search -- 2015Dec18
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
205889250, 3.57371266308, 0.0002766031, 3.8636066673, 0.0005005254, 0.338715, 44.0, 77.0
205890696, 5.53246009598, 0.0002453997, 4.57861610216, 0.0010712624, 0.029165, 76.0, 78.0
205891576, 15.1819461357, 2.28202e-05, 4.61121544595, 5.0705e-05, 0.282175, 81.0, 8.0
205891848, 15.8267707189, 0.000160706, 3.98563785828, 0.0010820985, 0.019064, 46.0, 47.0
205891876, 28.5402721077, 0.0002045917, 4.20932516728, 0.0003192313, 0.518693, 56.0, 7.0
205891958, 4.32233449286, 0.0003393629, 3.96225340429, 0.0006642854, 0.261261, 80.0, 5.0
205892108, 14.5672524523, 9.52867e-05, 5.26811177561, 0.0002014753, 0.337755, 38.0, 71.0
205892281, 38.2309884463, 0.0001974819, 11.5066022708, 0.0004703942, 0.228432, 70.0, 92.0
205892667, 3.92111244574, 0.0004241062, 5.30375692206, 0.0006025624, 0.439799, 42.0, 85.0
205892677, 42.8350369184, 0.0001134342, 5.44443557376, 0.0002028169, 0.180217, 25.0, 42.0
205893085, 54.7473977877, 2.88785e-05, 4.44054346462, 4.83665e-05, 0.506821, 79.0, 29.0
205893214, 17.0882479847, 3.75875e-05, 5.0937031086, 6.93934e-05, 0.518208, 44.0, 95.0
205893469, 5.03499003387, 1.07123e-05, 4.18361051815, 1.9795e-05, 0.356522, 84.0, 19.0
205893603, 3.29947068242, 3.50444e-05, 3.83244567139, 7.23931e-05, 0.291368, 94.0, 22.0
205893702, 15.6604807768, 1.85836e-05, 3.67147255152, 3.78837e-05, 0.403215, 59.0, 98.0
205893858, 15.5980486841, 0.0001735551, 4.94744918772, 0.0012322742, 0.010197, 98.0, 98.0
205894004, 7.77527133267, 0.0009965324, 8.57809352587, 0.0019122872, 0.519308, 11.0, 62.0
205894358, 3.06912631565, 2.86316e-05, 4.18078200532, 0.0001104905, 0.049214, 77.0, 81.0
205894941, 5.16033039015, 0.0001881448, 3.65510335612, 0.000684907, 0.077627, 64.0, 71.0
205895081, 9.58766259577, 0.0005524929, 4.04628644446, 0.0010359707, 0.280336, 83.0, 10.0
205895090, 12.4322700289, 2.50161e-05, 4.01600817132, 5.61986e-05, 0.272289, 34.0, 60.0
205895252, 4.02239333409, 9.8867e-06, 5.00203070335, 2.26924e-05, 0.131261, 74.0, 86.0
205895680, 6.01282836933, 2.09828e-05, 3.80296434334, 7.81554e-05, 0.068977, 70.0, 76.0
205896070, 3.40647556812, 2.83172e-05, 4.95201282048, 5.25345e-05, 0.179074, 72.0, 89.0
205896106, 3.36220156959, 1.10237e-05, 3.72195293309, 1.95757e-05, 0.331252, 28.0, 60.0
205896226, 57.4609445143, 8.7389e-06, 3.79634607326, 8.67764e-05, 0.010178, 54.0, 54.0
205896348, 50.022822913, 0.000174552, 4.29815679406, 0.0006109043, 0.089683, 51.0, 59.0
205896459, 65.2462911561, 1.07274e-05, 4.17105206373, 2.98088e-05, 0.14878, 79.0, 93.0
205896499, 67.0636461946, 0.0004859208, 5.06647106395, 0.0007243558, 0.485265, 4.0, 51.0
205896601, 6.27186004553, 0.0002466313, 4.29555635281, 0.0011671131, 0.041361, 78.0, 81.0
205896721, 21.6806672587, 9.8251e-05, 5.86910546465, 0.0002215296, 0.269138, 34.0, 60.0
205896738, 18.0750249096, 0.0009298221, 3.77269525145, 0.0019608836, 0.168354, 63.0, 79.0
205896803, 51.5892720109, 0.0004053882, 4.13582453043, 0.0025114681, 0.020087, 57.0, 58.0
205896873, 5.27423610382, 2.18856e-05, 3.27779902909, 5.18252e-05, 0.179602, 58.0, 75.0
205897043, 14.4930511858, 2.37118e-05, 5.15116052377, 3.52721e-05, 0.342887, 32.0, 65.0
205897059, 13.0381567089, 3.85127e-05, 3.78521810724, 7.72827e-05, 0.459236, 54.0, 99.0
205897280, 4.51173191289, 9.549e-06, 3.44934104707, 1.9095e-05, 0.373776, 71.0, 7.0
205897389, 69.9094963312, 0.0003037948, 4.88430269168, 0.0015515442, 0.039933, 40.0, 43.0
205897543, 23.6282101139, 6.7625e-06, 5.35972363966, 1.40864e-05, 0.360264, 33.0, 68.0
205897774, 6.14262562437, 2.5336e-05, 5.39966619714, 4.58786e-05, 0.211873, 87.0, 7.0
205897829, 13.6404247628, 1.44239e-05, 4.10810143555, 2.48619e-05, 0.485464, 80.0, 28.0
205898099, 24.7687220578, 0.0001449659, 5.96563982637, 0.0003480996, 0.223288, 18.0, 39.0
205898160, 3.86590403119, 2.11738e-05, 3.63905927867, 9.37849e-05, 0.050052, 64.0, 68.0
205898238, 3.13302306832, 1.62433e-05, 4.71192158411, 3.55439e-05, 0.229614, 35.0, 57.0
205898439, 31.3407166838, 8.68863e-05, 6.84449904078, 0.0001568936, 0.470238, 62.0, 8.0
205898454, 3.14182841847, 2.55163e-05, 4.80910346666, 3.73858e-05, 0.360234, 87.0, 22.0
205898527, 54.0852383356, 1.3138e-05, 3.76536390617, 4.38204e-05, 0.096473, 86.0, 95.0
205898849, 10.6187219572, 0.0004850916, 4.37658891964, 0.0017398444, 0.052526, 28.0, 32.0
205898872, 70.5396873916, 2.52924e-05, 3.82342004862, 0.0002528105, 0.010111, 26.0, 26.0
205898882, 6.32764715141, 0.0002894821, 5.8352982391, 0.0004310367, 0.407877, 30.0, 70.0
205898894, 3.32859286233, 0.0003521669, 3.90956325193, 0.0009256878, 0.138973, 97.0, 10.0
205898942, 21.6806672587, 3.67216e-05, 4.69700102139, 0.0001079194, 0.061272, 18.0, 23.0
