# K2_c05_SuPerPiG_Search -- 2016Feb16
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
211300349, 5.47344750793, 0.0013078413, 4.55273468842, 0.0023765844, 0.220094, 62.0, 83.0
211301344, 3.69696245242, 5.26045e-05, 4.61369455275, 9.45904e-05, 0.369041, 18.0, 54.0
211301372, 3.78091607816, 5.65992e-05, 4.12199785165, 9.92428e-05, 0.46967, 45.0, 91.0
211301433, 62.0147026524, 1.96922e-05, 5.32025456324, 2.61075e-05, 0.382171, 50.0, 87.0
211301456, 56.7319556923, 2.00674e-05, 6.58746789261, 2.84208e-05, 0.462036, 31.0, 76.0
211301592, 43.1896258519, 0.0001023541, 4.41467471566, 0.0001958011, 0.400413, 58.0, 97.0
211301689, 3.37889681835, 3.457e-07, 3.7516819389, 3.4316e-06, 0.010256, 25.0, 25.0
211301854, 3.94185177356, 0.00425122, 3.60133994001, 0.0087376314, 0.210495, 43.0, 63.0
211302038, 50.4256767546, 0.0027227413, 19.0619536262, 0.004259299, 0.466314, 51.0, 97.0
211302061, 3.8769169335, 7.09443e-05, 6.77018193715, 0.0001415254, 0.410347, 93.0, 33.0
211302124, 59.9940005999, 0.0002085145, 5.66876269047, 0.0003142762, 0.367413, 61.0, 97.0
211302183, 44.98990539, 3.36994e-05, 4.47400512564, 5.59391e-05, 0.518693, 44.0, 95.0
211302193, 65.2462911561, 3.50051e-05, 7.85069155186, 4.91088e-05, 0.387297, 53.0, 91.0
211302521, 43.1896258519, 3.55941e-05, 5.58060058977, 5.93763e-05, 0.418605, 40.0, 81.0
211302526, 21.5315190038, 0.0001358179, 5.76989959489, 0.0010611241, 0.010328, 82.0, 82.0
211302570, 3.8769169335, 0.0005451334, 4.10547699891, 0.0009457202, 0.407527, 38.0, 78.0
211302712, 71.5064623965, 7.8839e-05, 6.03490285742, 0.0001639972, 0.36254, 37.0, 72.0
211302777, 5.88618906292, 0.0002416157, 4.94094144584, 0.0009149357, 0.075427, 75.0, 82.0
211302817, 20.7603656938, 3.38338e-05, 5.25152528286, 6.99075e-05, 0.374447, 33.0, 70.0
211302881, 16.3560493871, 3.88802e-05, 4.52851567111, 8.14534e-05, 0.351152, 64.0, 98.0
211302959, 3.09277991817, 2.88824e-05, 4.48425009778, 0.0001116073, 0.039811, 22.0, 25.0
211303018, 43.1896258519, 0.0001367413, 5.46983460015, 0.0004138694, 0.061237, 53.0, 58.0
211303054, 51.9316406504, 0.0001441833, 5.07412114836, 0.0002654657, 0.490006, 37.0, 85.0
211303246, 4.41811818724, 3.19116e-05, 4.57580687117, 9.17959e-05, 0.078963, 72.0, 79.0
211303324, 5.22057699122, 0.0013127629, 4.49961952689, 0.002319068, 0.30649, 70.0, 0.0
211303326, 20.0940064602, 7.48478e-05, 5.7473801497, 0.000160701, 0.268214, 59.0, 85.0
211303568, 59.5375421414, 0.0001088739, 6.16504672971, 0.0001641592, 0.507951, 19.0, 69.0
211303780, 3.17143300011, 0.0004309407, 4.44996853375, 0.0006687538, 0.448895, 33.0, 77.0
211303922, 15.4976488775, 0.0003006817, 3.6797376028, 0.0005881677, 0.418851, 61.0, 2.0
211304005, 18.4261460871, 5.03591e-05, 5.00000298962, 0.0001102088, 0.247939, 33.0, 57.0
211304050, 43.1300947424, 8.77815e-05, 5.56031930847, 0.0001332596, 0.421053, 31.0, 72.0
211304152, 15.723414654, 8.90009e-05, 4.02543011286, 0.0001685031, 0.459388, 48.0, 94.0
211304154, 22.8853681445, 3.74683e-05, 5.80348898731, 6.54452e-05, 0.356827, 38.0, 73.0
211304198, 11.9710659336, 1.67396e-05, 5.04036568764, 2.71774e-05, 0.456605, 52.0, 97.0
211304345, 43.1896258519, 0.0001830434, 6.2592228833, 0.0004313516, 0.10156, 45.0, 54.0
211304376, 58.5354432109, 2.04901e-05, 5.74109119266, 3.10366e-05, 0.348467, 45.0, 79.0
211304412, 50.3446510906, 2.81532e-05, 5.76988506054, 4.39418e-05, 0.50221, 40.0, 89.0
211304446, 35.7835097659, 1.43576e-05, 3.70687954037, 0.0001455613, 0.009712, 96.0, 96.0
211304601, 6.34560546991, 7.06062e-05, 4.43296139111, 0.0001296979, 0.299382, 69.0, 98.0
211304606, 16.5200625835, 0.0008050253, 4.50270116763, 0.001333774, 0.517941, 64.0, 15.0
211304607, 43.1896258519, 0.0001245065, 4.99610272182, 0.0002347622, 0.236524, 34.0, 57.0
211304632, 8.6665219839, 0.0005680594, 4.31074915013, 0.0012920456, 0.139412, 33.0, 46.0
211304763, 66.0727460934, 2.8135e-05, 5.6506805148, 4.66657e-05, 0.48, 51.0, 98.0
211304781, 56.834866296, 5.37007e-05, 5.40726296752, 0.000299395, 0.017946, 83.0, 84.0
211305029, 72.0000720001, 4.39041e-05, 7.49746401577, 9.18941e-05, 0.169566, 49.0, 65.0
211305047, 48.6997175416, 0.0001024668, 6.0875983866, 0.0002239698, 0.258747, 24.0, 49.0
211305065, 3.13679073894, 0.0026430225, 3.77464405014, 0.0250527208, 0.009729, 88.0, 88.0
211305143, 69.7536533476, 1.98231e-05, 4.93973506715, 3.7249e-05, 0.211317, 66.0, 86.0
211305152, 21.6058357362, 6.04438e-05, 3.86889661874, 0.0002420599, 0.049691, 80.0, 84.0
211305171, 12.1570447035, 2.51434e-05, 4.71997499281, 4.03337e-05, 0.461448, 54.0, 99.0
211305197, 33.0272350837, 4.44934e-05, 4.85276111908, 7.76269e-05, 0.399118, 59.0, 98.0
211305270, 21.4724365489, 0.0001984811, 5.41823385603, 0.000377357, 0.479339, 36.0, 83.0
211305461, 29.7897218012, 9.75136e-05, 6.22975880762, 0.0001842246, 0.501469, 45.0, 94.0
211305487, 42.0862874108, 1.44793e-05, 4.42588777807, 2.32007e-05, 0.518682, 46.0, 97.0
211305555, 43.1300947424, 0.0001749661, 5.99837045679, 0.0004609015, 0.100118, 30.0, 39.0
211305568, 4.74783177403, 6.11745e-05, 8.35264289189, 0.0002133058, 0.090427, 6.0, 14.0
211305600, 70.0660372401, 5.83093e-05, 6.43623893517, 0.0001022559, 0.219835, 67.0, 88.0
211305672, 57.6726213648, 0.0001061115, 4.09997441537, 0.0001641894, 0.475685, 44.0, 91.0
211305745, 60.6918875177, 0.0001044619, 5.8375621132, 0.0001724653, 0.428613, 52.0, 94.0
211305806, 59.7649742388, 2.97658e-05, 4.57505703007, 4.86262e-05, 0.499559, 41.0, 90.0
211305819, 43.1896258519, 9.06867e-05, 4.99044444196, 0.0001768274, 0.340902, 46.0, 79.0
211305895, 55.7219474821, 3.76162e-05, 3.59028927381, 0.0001169231, 0.109214, 81.0, 91.0
211305926, 48.473489041, 2.15956e-05, 5.63611894188, 4.34029e-05, 0.127647, 87.0, 99.0
211305959, 25.7254854881, 6.59723e-05, 4.88158182978, 0.0001236117, 0.431471, 57.0, 99.0
211306064, 43.1896258519, 3.48967e-05, 4.8169221133, 6.51617e-05, 0.506914, 49.0, 99.0
211306195, 12.2666211439, 0.0001017037, 5.22600179965, 0.0002035676, 0.480165, 67.0, 14.0
211306204, 48.928067586, 5.4756e-05, 4.33650218573, 0.0001462693, 0.119729, 60.0, 71.0
211306301, 16.7499160759, 0.0002751969, 4.61697068791, 0.000550514, 0.51045, 24.0, 74.0
211306307, 61.2860885686, 7.11148e-05, 7.50296539769, 0.0001442753, 0.416101, 94.0, 35.0
211306369, 43.2493215263, 8.6567e-05, 4.32926863501, 0.0002404022, 0.089517, 47.0, 55.0
211306401, 7.33437827851, 0.0014308149, 4.56859172658, 0.0022090797, 0.457034, 45.0, 90.0
211306430, 5.37476320249, 0.0003942437, 3.93582840723, 0.000685713, 0.398352, 57.0, 96.0
211306478, 70.8589581962, 2.60286e-05, 5.41083989335, 3.95786e-05, 0.497646, 38.0, 87.0
211306585, 3.72822657427, 0.0004361032, 4.29114160537, 0.0038398765, 0.010003, 31.0, 31.0
211306588, 3.71715774967, 0.0007191173, 4.41145722942, 0.0013385674, 0.280919, 33.0, 60.0
211306601, 43.0708048139, 0.0002296645, 5.32960424473, 0.0003807443, 0.365458, 63.0, 99.0
211306674, 21.546345291, 6.60922e-05, 4.15016742855, 0.0001308335, 0.320849, 43.0, 74.0
211306726, 4.51173191289, 0.0003365844, 4.15120709578, 0.0019234466, 0.027991, 79.0, 81.0
211306731, 21.5909274923, 9.09176e-05, 4.8760437697, 0.0001445486, 0.419098, 35.0, 76.0
211306732, 69.5987054641, 5.65896e-05, 5.17760893745, 9.37414e-05, 0.368111, 63.0, 99.0
211306734, 3.91522685559, 8.4985e-05, 4.63445286645, 0.0001425354, 0.341083, 64.0, 97.0
211306742, 67.2076885596, 2.85043e-05, 5.60844491408, 3.81488e-05, 0.477876, 50.0, 97.0
211306754, 5.88287057611, 6.1979e-06, 3.79163126415, 1.16488e-05, 0.475448, 69.0, 16.0
211306758, 6.20718497178, 0.0002911453, 5.2305037039, 0.0006179994, 0.270103, 41.0, 67.0
211306857, 4.42749288603, 6.21812e-05, 5.33996575688, 0.0001015394, 0.258112, 59.0, 84.0
211306893, 28.7235952367, 6.24378e-05, 8.3571070959, 0.0001259997, 0.433363, 13.0, 55.0
211306930, 19.4087292377, 7.5662e-06, 4.68641163431, 1.54602e-05, 0.39759, 59.0, 98.0
211307080, 21.4577117675, 1.62931e-05, 4.51105432835, 3.36533e-05, 0.270262, 76.0, 2.0
211307091, 21.4577117675, 1.58004e-05, 4.34623124795, 3.27801e-05, 0.269832, 76.0, 2.0
211307095, 24.9067036393, 3.96076e-05, 3.51823285568, 9.54109e-05, 0.221307, 71.0, 92.0
211307159, 70.6990664777, 4.64162e-05, 4.58331086361, 0.0002979619, 0.01677, 34.0, 35.0
211307165, 15.0577936944, 9.3857e-06, 4.01595082208, 2.22759e-05, 0.230792, 45.0, 67.0
211307202, 8.6713253362, 0.0006550061, 3.86796698213, 0.001103074, 0.401707, 22.0, 61.0
211307207, 12.6278769855, 0.1535536444, 43.621331914, 0.1547486581, 0.419042, 61.0, 2.0
211307390, 26.3758291901, 9.35295e-05, 4.69827689031, 0.0001408866, 0.319894, 69.0, 99.0
211307406, 5.88618906292, 1.81441e-05, 5.6167002036, 3.60512e-05, 0.121915, 80.0, 91.0
211307408, 71.834780006, 2.56908e-05, 4.86919273437, 4.72505e-05, 0.407767, 59.0, 99.0
211307414, 13.4124743836, 0.0001077291, 7.43001235604, 0.0002110143, 0.458689, 54.0, 99.0
211307434, 56.6292834744, 7.7381e-05, 6.07181461616, 0.000121413, 0.51045, 21.0, 71.0
211307446, 36.7066769445, 0.0003065185, 3.99418889018, 0.0006454912, 0.217647, 75.0, 96.0
211307478, 23.8988124282, 0.0001083615, 7.1984596914, 0.0002167464, 0.507349, 29.0, 79.0
211307483, 5.88508200371, 0.0001126956, 5.46725328353, 0.0001623716, 0.398348, 60.0, 99.0
211307517, 6.61236628211, 7.65816e-05, 4.77991613345, 0.000140671, 0.279729, 57.0, 84.0
211307604, 59.8791937267, 1.55439e-05, 5.35268747957, 2.12529e-05, 0.521624, 39.0, 90.0
211307639, 52.1044781628, 1.12445e-05, 4.48532720987, 1.72173e-05, 0.497351, 48.0, 97.0
211307660, 43.550213396, 0.0002179458, 10.8614344057, 0.0003285186, 0.418331, 12.0, 53.0
211307670, 69.9094963312, 5.55642e-05, 4.26160344519, 9.75028e-05, 0.488352, 49.0, 97.0
211307684, 66.2123761967, 3.19391e-05, 5.77562349397, 7.37267e-05, 0.091524, 67.0, 75.0
211307745, 33.3083982963, 4.03561e-05, 4.34499565216, 7.36314e-05, 0.501471, 20.0, 69.0
211307784, 59.1997671476, 5.75884e-05, 4.77714500029, 8.74887e-05, 0.389626, 50.0, 88.0
211307798, 18.0645899413, 0.000896432, 4.46187462642, 0.0012908541, 0.470692, 32.0, 78.0
211307827, 15.9802909745, 9.46613e-05, 5.47845253242, 0.0002547021, 0.160588, 5.0, 20.0
211307849, 43.1896258519, 0.0006246084, 21.5074980071, 0.0012408441, 0.52, 5.0, 56.0
211307855, 11.1920409666, 0.000128066, 4.17701755713, 0.0002161662, 0.41426, 54.0, 95.0
211307894, 43.4293242035, 0.0006223294, 21.4488878753, 0.0011552697, 0.517626, 20.0, 71.0
211307909, 3.44661049553, 0.0015212811, 4.8005704889, 0.0023921629, 0.448763, 21.0, 65.0
211307947, 31.4036242399, 3.48325e-05, 10.222160325, 6.96917e-05, 0.486176, 30.0, 78.0
211307956, 53.6219385224, 0.000130164, 3.80027337364, 0.0004553805, 0.089759, 86.0, 94.0
211307960, 4.00745921742, 0.0006009579, 4.67289368024, 0.0018430562, 0.069473, 49.0, 55.0
211307976, 33.4865809503, 0.0001617585, 10.7676474723, 0.0003333141, 0.379665, 43.0, 80.0
211307977, 7.31039797502, 0.0031723768, 35.8441284913, 0.0034758661, 0.470018, 21.0, 67.0
211307994, 8.48561476158, 0.0001001096, 6.36235429713, 0.0002005419, 0.471643, 96.0, 42.0
211308023, 10.1045356313, 0.0004736671, 3.9130976298, 0.0007758475, 0.419782, 50.0, 91.0
211308026, 37.5882737115, 7.07911e-05, 4.79535012386, 0.0001929067, 0.087046, 47.0, 55.0
211308051, 39.5847559105, 9.95169e-05, 5.50012124387, 0.0001637031, 0.277598, 63.0, 90.0
211308100, 22.5068927359, 0.0002512647, 16.8719602981, 0.0004932948, 0.463278, 2.0, 47.0
211308117, 12.8772428535, 0.0002587848, 3.54951371481, 0.0005469071, 0.338439, 64.0, 97.0
211308204, 51.4197198911, 4.98205e-05, 4.97154083785, 8.66932e-05, 0.431014, 17.0, 59.0
211308205, 3.89622027671, 6.40404e-05, 5.39806260208, 0.0003849534, 0.014741, 68.0, 69.0
