#epic_num, bper, bpow, depth, qtran, in1, in2
200001049, 0.3826099157, 0.0385099519, 0.3792403805, 0.010420, 67, 67
201121245, 0.6144030477, 0.0000368913, 0.0000853463, 0.248690, 6, 30
201122454, 1.1027092600, 0.0000587172, 0.0001200113, 0.396944, 59, 98
201122521, 0.8719551189, 0.0001059231, 0.0002133218, 0.441291, 53, 96
201123619, 0.2138152736, 0.0001501066, 0.0003826358, 0.189994, 81, 99
201124136, 0.7328137978, 0.0000302465, 0.0000606188, 0.467811, 48, 94
201124275, 0.2405977045, 0.0000773770, 0.0001584455, 0.392698, 27, 65
201124583, 0.2404202967, 0.0001574981, 0.0006581652, 0.060983, 22, 27
201124666, 0.1387208657, 0.0004700452, 0.0010492815, 0.277910, 63, 90
201124933, 0.9212271973, 0.0003719309, 0.0011448311, 0.119929, 59, 70
201125725, 0.2807340995, 0.0001389076, 0.0002830561, 0.404230, 54, 93
201126062, 0.9808069579, 0.0002116999, 0.0004310025, 0.406502, 70, 10
201126351, 0.6024824760, 0.0000842013, 0.0001911080, 0.263620, 73, 98
201126368, 0.2408198327, 0.0001207904, 0.0002416975, 0.484459, 68, 15
201126489, 0.6259024329, 0.0000280054, 0.0000566581, 0.424633, 31, 72
201126503, 1.1946236559, 0.0009887852, 0.0045665376, 0.049317, 8, 12
201126512, 1.0427573261, 0.0002336922, 0.0006202001, 0.171335, 49, 65
201126617, 0.6489485981, 0.0002147646, 0.0004301533, 0.473073, 49, 96
201126643, 0.7839073851, 0.0003061333, 0.0006201766, 0.420397, 24, 65
201127237, 0.7488017973, 0.0001263017, 0.0009106844, 0.019620, 39, 40
201127270, 0.5776652288, 0.0001309795, 0.0002622128, 0.478003, 64, 10
201127502, 0.2472572309, 0.0000129759, 0.0000260089, 0.466874, 20, 66
201127583, 0.2498147022, 0.0001398317, 0.0002826105, 0.427980, 52, 94
201127842, 0.2500062508, 0.0002276432, 0.0005815707, 0.188899, 30, 48
201127988, 0.1790096197, 0.0003361222, 0.0023768935, 0.020414, 82, 83
201128834, 0.2405977045, 0.0002255992, 0.0004829805, 0.321620, 91, 22
201128959, 0.7382059801, 0.0001450635, 0.0003002917, 0.371011, 82, 18
201129066, 0.3671019299, 0.0003152337, 0.0007117873, 0.267921, 46, 72
201129239, 0.1591141758, 0.0015022995, 0.0148706289, 0.010312, 65, 65
201129520, 0.5751179110, 0.0000186791, 0.0000433808, 0.245841, 61, 85
201129544, 0.5478203700, 0.0000520673, 0.0001318644, 0.193260, 46, 64
201129760, 0.2453040029, 0.0001366893, 0.0012752266, 0.011624, 63, 63
201129780, 0.2314601193, 0.0003757391, 0.0017208657, 0.050193, 20, 24
201129856, 2.2652922519, 0.0000886092, 0.0002556058, 0.139688, 84, 97
201129879, 0.6850819897, 0.0000869534, 0.0001897097, 0.300211, 82, 11
201129911, 0.2409087989, 0.0001010205, 0.0002428219, 0.222653, 9, 30
201129933, 0.4912789269, 0.0000768317, 0.0001549773, 0.435030, 53, 96
201129992, 0.8492440972, 0.0001340854, 0.0002780590, 0.367847, 55, 91
201130184, 1.7726628058, 0.0000218035, 0.0000920432, 0.059675, 26, 31
201130377, 0.6359743041, 0.0012942922, 0.0045075990, 0.090667, 18, 26
