#epic_num, bper, bpow, depth, qtran, in1, in2
205889250, 0.9845088451, 0.0002368851, 0.0005005254, 0.338715, 44, 77
205890696, 0.2793510956, 0.0001802609, 0.0010712624, 0.029165, 76, 78
205891576, 0.6325811894, 0.0000228202, 0.0000507050, 0.282175, 81, 8
205891848, 0.3528975789, 0.0001479752, 0.0010820985, 0.019064, 46, 47
205891876, 0.3991191889, 0.0001595041, 0.0003192313, 0.518693, 56, 7
205891958, 0.2104683389, 0.0002918352, 0.0006642854, 0.261261, 80, 5
205892108, 0.6069686975, 0.0000952867, 0.0002014753, 0.337755, 38, 71
205892281, 1.5929584196, 0.0001974819, 0.0004703942, 0.228432, 70, 92
205892667, 0.2183251332, 0.0002990894, 0.0006025624, 0.439799, 42, 85
205892677, 0.5870254403, 0.0000779563, 0.0002028169, 0.180217, 25, 42
205893085, 0.2958254850, 0.0000241810, 0.0000483665, 0.506821, 79, 29
205893214, 0.6412904053, 0.0000346737, 0.0000693934, 0.518208, 44, 95
205893469, 0.5240474485, 0.0000094813, 0.0000197950, 0.356522, 84, 19
205893603, 0.5229967222, 0.0000328949, 0.0000723931, 0.291368, 94, 22
205893702, 0.6525200670, 0.0000185836, 0.0000378837, 0.403215, 59, 98
205893858, 0.3533756641, 0.0001238001, 0.0012322742, 0.010197, 98, 98
205894004, 0.3237284294, 0.0009554305, 0.0019122872, 0.519308, 11, 62
205894358, 1.2702519585, 0.0000239007, 0.0001104905, 0.049214, 77, 81
205894941, 2.8554973822, 0.0001832701, 0.0006849070, 0.077627, 64, 71
205895081, 0.6807907040, 0.0004653202, 0.0010359707, 0.280336, 83, 10
205895090, 0.5180113283, 0.0000250161, 0.0000561986, 0.272289, 34, 60
205895252, 0.2279805741, 0.0000076629, 0.0000226924, 0.131261, 74, 86
205895680, 1.5312404288, 0.0000198058, 0.0000781554, 0.068977, 70, 76
205896070, 0.9800699186, 0.0000201425, 0.0000525345, 0.179074, 72, 89
205896106, 0.5176001656, 0.0000092136, 0.0000195757, 0.331252, 28, 60
205896226, 0.1976464542, 0.0000087099, 0.0000867764, 0.010178, 54, 54
205896348, 2.0842829350, 0.0001745520, 0.0006109043, 0.089683, 51, 59
205896459, 2.1078631157, 0.0000106081, 0.0000298088, 0.148780, 79, 93
205896499, 0.5441632653, 0.0003620206, 0.0007243558, 0.485265, 4, 51
205896601, 0.1677722097, 0.0002323997, 0.0011671131, 0.041361, 78, 81
205896721, 0.9033608384, 0.0000982510, 0.0002215296, 0.269138, 34, 60
205896738, 0.1677937944, 0.0007337233, 0.0019608836, 0.168354, 63, 79
205896803, 0.2121113555, 0.0003523542, 0.0025114681, 0.020087, 57, 58
205896873, 0.9109322806, 0.0000198934, 0.0000518252, 0.179602, 58, 75
205897043, 0.7159188544, 0.0000167428, 0.0000352721, 0.342887, 32, 65
205897059, 0.5432566058, 0.0000385127, 0.0000772827, 0.459236, 54, 99
205897280, 1.3071727384, 0.0000092383, 0.0000190950, 0.373776, 71, 7
205897389, 2.9128957079, 0.0003037948, 0.0015515442, 0.039933, 40, 43
205897543, 0.9845088451, 0.0000067625, 0.0000140864, 0.360264, 33, 68
205897774, 0.6022042881, 0.0000187476, 0.0000458786, 0.211873, 87, 7
205897829, 0.6651661973, 0.0000124257, 0.0000248619, 0.485464, 80, 28
205898099, 1.0320305512, 0.0001449659, 0.0003480996, 0.223288, 18, 39
205898160, 2.8617630223, 0.0000204500, 0.0000937849, 0.050052, 64, 68
205898238, 1.0247326888, 0.0000149492, 0.0000355439, 0.229614, 35, 57
205898439, 0.6528466963, 0.0000783077, 0.0001568936, 0.470238, 62, 8
205898454, 0.7194732929, 0.0000179477, 0.0000373858, 0.360234, 87, 22
205898527, 1.1197506439, 0.0000129375, 0.0000438204, 0.096473, 86, 95
205898849, 0.1484808886, 0.0003881333, 0.0017398444, 0.052526, 28, 32
205898872, 2.9391534392, 0.0000252924, 0.0002528105, 0.010111, 26, 26
205898882, 0.5171896552, 0.0002118287, 0.0004310367, 0.407877, 30, 70
205898894, 0.2823752012, 0.0003202122, 0.0009256878, 0.138973, 97, 10
205898942, 0.1340719949, 0.0000258822, 0.0001079194, 0.061272, 18, 23
205899208, 0.1447242727, 0.0001973745, 0.0004659335, 0.234380, 27, 49
205899250, 0.5605344296, 0.0000308865, 0.0003013165, 0.010620, 76, 76
205899663, 1.0255384615, 0.0000977882, 0.0002432566, 0.202680, 40, 59
205899671, 0.2961613648, 0.0001565326, 0.0004666831, 0.129195, 81, 93
205899782, 0.5178056654, 0.0000210344, 0.0000422839, 0.449623, 21, 65
205899868, 0.2827424995, 0.0002187752, 0.0008100742, 0.079211, 37, 44
205900489, 2.0909661230, 0.0000108811, 0.0000360385, 0.101454, 47, 56
205900728, 0.1966036598, 0.0001972734, 0.0003947396, 0.515625, 6, 57
205900901, 2.8245762712, 0.0000193751, 0.0000671150, 0.091759, 40, 48
205901168, 1.8692048853, 0.0000138575, 0.0000281043, 0.417066, 22, 62
205901212, 0.1376520634, 0.0000256107, 0.0002502712, 0.010584, 76, 76
205901226, 1.3380168607, 0.0000412722, 0.0002104090, 0.040082, 90, 93
205901259, 2.4619993434, 0.0000179516, 0.0000370808, 0.375000, 62, 99
205901278, 0.2741830812, 0.0002053779, 0.0004742465, 0.250084, 34, 58
205901354, 0.1365996047, 0.0000076997, 0.0000772001, 0.010049, 69, 69
205901365, 1.9158842690, 0.0000316936, 0.0000808927, 0.189365, 74, 92
205901417, 0.5161662221, 0.0000431567, 0.0000884275, 0.391319, 48, 86
205901524, 0.5287212479, 0.0000257312, 0.0000517080, 0.451327, 42, 87
205901703, 2.7823949541, 0.0000076045, 0.0000164967, 0.306326, 16, 46
205901713, 0.6528466963, 0.0000330044, 0.0000666731, 0.429594, 57, 99
205901944, 1.0344863262, 0.0000176696, 0.0000418891, 0.231542, 14, 36
205901983, 2.9726488951, 0.0000427066, 0.0002160987, 0.040713, 14, 17
205902142, 0.2750504310, 0.0000313314, 0.0000676575, 0.311453, 20, 50
205902289, 0.3008756357, 0.0000262560, 0.0000548378, 0.355932, 55, 90
205902352, 0.9071307609, 0.0000210334, 0.0001091076, 0.038657, 94, 97
205902368, 0.5169846440, 0.0000266462, 0.0000551829, 0.370242, 38, 74
