# K2_c00_SuPerPiG_Search -- 2016Feb25
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
202059070, 4.79070507402, 0.0013641201, 4.8575729685, 0.00873308, 0.010691, 61.0, 61.0
202059073, 3.74293812845, 0.0002071755, 5.299028149, 0.0007672941, 0.079173, 59.0, 66.0
202059074, 4.14874782148, 6.73703e-05, 4.44058910708, 0.0001245207, 0.247633, 58.0, 82.0
202059078, 6.89190167094, 0.0004879829, 3.29321529729, 0.0011928686, 0.208333, 54.0, 74.0
202059080, 18.0854583119, 0.0007009586, 5.76322639904, 0.0020069871, 0.050955, 23.0, 27.0
202059081, 3.11835319768, 0.0001939149, 5.23184722151, 0.0012533466, 0.009831, 35.0, 35.0
202059082, 6.75798392445, 0.0007111505, 10.4894258651, 0.0014351785, 0.43317, 71.0, 13.0
202059086, 46.5972367839, 0.0005833614, 4.0068345181, 0.0035899252, 0.027143, 82.0, 84.0
202059183, 9.26143169385, 3.70688e-05, 3.84455678187, 7.12272e-05, 0.244428, 44.0, 68.0
202059188, 16.5725484022, 0.0113846087, 21.7350547835, 0.0227528145, 0.517664, 76.0, 27.0
202059190, 13.9070856022, 2.72462e-05, 3.40968815835, 0.0001912504, 0.018732, 64.0, 65.0
202059192, 18.9619441681, 2.63401e-05, 4.01114929945, 5.01366e-05, 0.246677, 4.0, 28.0
202059193, 3.82247106509, 2.63248e-05, 3.43820718929, 6.56144e-05, 0.195369, 17.0, 35.0
202059195, 8.65453997334, 4.98906e-05, 5.35187911855, 9.31937e-05, 0.159222, 27.0, 42.0
202059197, 4.18760030611, 2.52404e-05, 5.42605876276, 3.86364e-05, 0.230548, 42.0, 64.0
202059198, 47.0879996233, 2.36452e-05, 3.62005187784, 4.91717e-05, 0.231332, 41.0, 63.0
202059199, 67.9368979446, 2.77547e-05, 3.87013365913, 5.49211e-05, 0.224801, 56.0, 78.0
202059203, 17.3247046679, 3.23778e-05, 4.23995437015, 6.34543e-05, 0.477175, 90.0, 36.0
202059204, 37.6334812538, 0.0001217166, 4.20008550998, 0.0002443141, 0.457578, 15.0, 60.0
202059207, 47.1588743177, 2.50104e-05, 6.71021635029, 4.10746e-05, 0.433922, 50.0, 93.0
202059208, 46.6667314816, 2.56481e-05, 4.90356679186, 3.7236e-05, 0.467949, 18.0, 64.0
202059210, 67.3521620044, 6.58248e-05, 6.68358046228, 0.0001071044, 0.37149, 28.0, 64.0
202059215, 8.19888864064, 6.71465e-05, 5.52917389464, 0.0001207337, 0.492527, 38.0, 86.0
202059221, 3.46837900538, 3.29065e-05, 3.53340536543, 0.0002008035, 0.024781, 55.0, 57.0
202059222, 11.2523911331, 3.13153e-05, 3.27350135552, 6.20439e-05, 0.489138, 97.0, 45.0
202059223, 16.5813303892, 3.72041e-05, 4.05886260694, 6.80991e-05, 0.467096, 85.0, 31.0
202059224, 3.32894652158, 1.9117e-05, 4.53773608353, 7.981e-05, 0.028058, 73.0, 75.0
202059229, 60.3409262332, 0.0005681054, 14.6368495235, 0.0012695875, 0.276912, 28.0, 55.0
202059231, 69.2904656319, 0.0001265715, 4.50438821153, 0.0002688696, 0.121366, 58.0, 69.0
202059243, 23.6282101139, 2.03598e-05, 3.59211122353, 3.82917e-05, 0.490432, 95.0, 42.0
202059291, 35.7018538188, 0.0004791309, 24.6638623251, 0.0009848442, 0.384615, 16.0, 53.0
202059299, 32.2447158972, 2.27427e-05, 4.04709954325, 4.03661e-05, 0.380505, 93.0, 30.0
202059310, 4.58307656965, 0.0007589988, 8.44254172979, 0.0018876863, 0.202792, 15.0, 34.0
202059312, 47.0172455339, 3.22856e-05, 5.20657845817, 7.76888e-05, 0.221976, 42.0, 63.0
202059318, 6.6986863876, 2.29541e-05, 4.28594859539, 4.61176e-05, 0.43806, 30.0, 74.0
202059326, 47.1588743177, 4.36964e-05, 8.25918725446, 5.234e-05, 0.474836, 75.0, 21.0
202059327, 21.0394542366, 6.05995e-05, 13.4714974708, 7.56198e-05, 0.44989, 95.0, 38.0
202059330, 5.63707655573, 7.04178e-05, 5.58972416843, 0.0001621142, 0.186202, 22.0, 40.0
202059332, 18.211729568, 0.0003440596, 24.2612239098, 0.0006560843, 0.519853, 29.0, 80.0
202059333, 44.8609031621, 0.0001677469, 12.4456637893, 0.0003334261, 0.511001, 57.0, 8.0
