# K2_c04_SuPerPiG_Search -- 2015Dec20
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
210302627, 15.3306632428, 4.18415e-05, 4.43167239652, 7.07045e-05, 0.458584, 74.0, 19.0
210303168, 20.7741486494, 5.65247e-05, 4.26000011526, 0.0001133064, 0.466337, 51.0, 97.0
210303479, 55.2304374941, 1.71291e-05, 5.37064056897, 6.13484e-05, 0.059748, 70.0, 75.0
210304352, 3.4587978631, 2.24774e-05, 4.89319072087, 4.46301e-05, 0.192688, 65.0, 83.0
210305942, 7.75024574738, 4.21586e-05, 4.08839970192, 7.53035e-05, 0.410708, 39.0, 79.0
210306475, 9.0342193644, 7.82156e-05, 5.30843060213, 0.000165645, 0.335566, 51.0, 84.0
210307221, 3.24743902223, 0.0069245321, 3.35606801121, 0.0163202091, 0.201418, 40.0, 59.0
210307350, 38.751616669, 2.87961e-05, 4.53627213065, 7.20549e-05, 0.131631, 26.0, 38.0
210307378, 3.4284896346, 1.1787e-06, 3.88599185547, 7.7435e-06, 0.023732, 95.0, 97.0
210307958, 23.6282101139, 9.32396e-05, 5.24530033282, 0.0002070645, 0.28266, 9.0, 36.0
210308210, 7.39328030914, 0.0004300697, 3.56993382953, 0.0026889369, 0.019691, 3.0, 4.0
210308491, 7.15172016749, 0.0006752594, 4.51188426416, 0.0017719768, 0.120579, 98.0, 9.0
210308588, 48.2493526545, 0.0001414782, 4.45926824399, 0.0002746054, 0.46736, 44.0, 90.0
210309091, 18.1378613497, 9.25782e-05, 5.34510141453, 0.0001837147, 0.435923, 21.0, 64.0
210309341, 7.58497542784, 0.0005398425, 3.95083893389, 0.0011232932, 0.276843, 68.0, 95.0
210309376, 6.17169342524, 0.0001777084, 4.87330234816, 0.0003381964, 0.225576, 47.0, 69.0
210310009, 8.45124879526, 3.44101e-05, 4.8633449961, 0.0002674931, 0.01066, 6.0, 6.0
210310510, 3.84359268295, 5.77037e-05, 3.33399645937, 0.0001221863, 0.317371, 63.0, 94.0
210310724, 14.6627834728, 0.0005623216, 4.35698044205, 0.0012140234, 0.311701, 36.0, 66.0
210310995, 18.7349534905, 0.0002981229, 4.17850492056, 0.0005273692, 0.458728, 24.0, 69.0
210311067, 47.2300556331, 6.92811e-05, 6.85188813777, 0.00010017, 0.434883, 57.0, 99.0
210311375, 28.3079623221, 0.0002285505, 4.9801015507, 0.0004352939, 0.31987, 62.0, 93.0
210311535, 13.4759916786, 0.0556111271, 47.9327301237, 0.0944227557, 0.512662, 1.0, 51.0
210311597, 15.8668769028, 5.50195e-05, 8.45846966322, 0.0001101911, 0.473736, 21.0, 67.0
210311687, 21.9236345001, 0.0041703536, 44.7922456422, 0.0082665809, 0.481457, 99.0, 46.0
210312506, 21.0677671064, 6.51118e-05, 5.65442829224, 0.0001075212, 0.399184, 35.0, 74.0
210312511, 3.4284896346, 0.0007213268, 4.97620710011, 0.0010336477, 0.420831, 34.0, 75.0
210312900, 7.69309919386, 1.99611e-05, 4.02842621617, 3.539e-05, 0.382052, 62.0, 99.0
210312947, 21.6806672587, 0.0015348338, 4.55028564408, 0.0029103228, 0.302437, 65.0, 94.0
210312949, 3.65978850082, 1.34426e-05, 4.23298659555, 2.68364e-05, 0.337806, 61.0, 94.0
210312956, 11.5216111821, 0.0002541729, 4.17081632357, 0.0014897449, 0.019112, 48.0, 49.0
210313423, 48.7756300694, 6.19388e-05, 5.49788916476, 9.47371e-05, 0.28895, 64.0, 92.0
210313844, 5.89394725998, 0.001060925, 3.43339920124, 0.0046413945, 0.041815, 38.0, 41.0
210314226, 44.4784622313, 2.00529e-05, 3.81312088713, 3.91151e-05, 0.446501, 46.0, 90.0
210314232, 39.3855202417, 0.0001562972, 3.80654013341, 0.0015724004, 0.00998, 81.0, 81.0
210314431, 3.50606293237, 7.12326e-05, 12.7532461304, 0.0001416276, 0.522802, 67.0, 18.0
210314440, 6.23562558394, 4.76448e-05, 4.18835198506, 9.06789e-05, 0.440914, 51.0, 94.0
210314566, 24.8473698541, 3.14214e-05, 4.51296856182, 6.37948e-05, 0.413943, 58.0, 99.0
210314671, 32.4116714429, 0.0019680485, 4.74762824047, 0.0081172019, 0.04026, 89.0, 92.0
210314854, 9.94403167506, 9.40585e-05, 5.08396373219, 0.0001785419, 0.382353, 1.0, 38.0
210315527, 3.96582450731, 0.0026354978, 4.64514954253, 0.0090507288, 0.061523, 28.0, 33.0
210315825, 23.7898405486, 7.08414e-05, 4.9874994197, 0.0001428066, 0.437395, 33.0, 76.0
210316002, 5.75417585337, 3.01191e-05, 3.96058899359, 0.0001371813, 0.040226, 70.0, 73.0
210316476, 4.82467240977, 2.02814e-05, 3.28363282301, 0.0001879245, 0.011122, 58.0, 58.0
210316598, 13.0544681365, 0.0003566984, 3.50465007071, 0.0009130813, 0.148052, 50.0, 64.0
210316742, 3.85352989761, 3.14035e-05, 4.23507549263, 6.58369e-05, 0.168591, 82.0, 98.0
210316947, 3.9245537251, 2.89124e-05, 3.70417309307, 5.90684e-05, 0.237607, 40.0, 63.0
210317105, 55.1331235212, 9.96263e-05, 4.57631408951, 0.0002200145, 0.127822, 79.0, 91.0
210317331, 4.56436380566, 0.0001382547, 5.01315058641, 0.00022017, 0.426658, 67.0, 9.0
210317378, 19.3487376158, 3.95367e-05, 3.45268988749, 7.58494e-05, 0.265481, 46.0, 72.0
210317526, 12.4027161948, 5.16242e-05, 4.20576930273, 0.000179651, 0.089626, 62.0, 70.0
210317585, 39.3855202417, 1.8458e-05, 3.89142191792, 3.75462e-05, 0.404176, 61.0, 0.0
210317628, 39.989336177, 0.0001562027, 7.53790711123, 0.0003009405, 0.287471, 23.0, 51.0
210318134, 14.9785245404, 0.0059097435, 25.4394446145, 0.0121733932, 0.380314, 99.0, 36.0
210318238, 3.2856170471, 1.59729e-05, 4.42350264385, 5.92182e-05, 0.049736, 2.0, 6.0
210318481, 49.2359200655, 0.000131814, 5.67408108744, 0.0002495485, 0.382284, 50.0, 87.0
210318725, 3.53776453082, 1.78251e-05, 3.79874579478, 4.14096e-05, 0.231575, 42.0, 64.0
210318757, 47.4448009394, 0.0001862634, 8.0577858265, 0.0003884378, 0.106519, 88.0, 98.0
210318953, 18.2755356826, 2.26253e-05, 3.73842267006, 5.13552e-05, 0.159546, 37.0, 52.0
210318976, 11.8756912023, 0.0001067938, 6.43734024277, 0.0002136443, 0.429053, 62.0, 4.0
210319059, 46.9467037546, 4.25875e-05, 4.57479039939, 0.0003460458, 0.009917, 78.0, 78.0
210319568, 15.4823227355, 2.31033e-05, 3.5914682654, 4.87547e-05, 0.331553, 97.0, 29.0
210319653, 47.1588743177, 7.66952e-05, 5.75527833808, 0.0001533416, 0.380866, 2.0, 38.0
210319712, 8.65215004126, 0.0007588681, 3.55469851038, 0.0018582113, 0.151466, 1.0, 15.0
210319744, 3.60831825608, 0.0006075885, 3.28241387563, 0.0011065983, 0.526095, 72.0, 23.0
210319815, 19.4087292377, 0.0009100801, 4.99433778606, 0.0018434945, 0.16864, 89.0, 5.0
210320059, 9.04727654358, 5.08851e-05, 4.73398908144, 9.64751e-05, 0.400197, 55.0, 94.0
